px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.38627	-12.9806	-2.55291	-0.52249	-1.11166	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.27493	-12.9247	-2.45728	-0.570779	-1.09203	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0
6.096	-12.8817	-2.55538	-0.586774	-1.0472	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
5.94336	-12.77	-2.87829	-0.656925	-1.08366	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	0
5.77867	-12.701	-2.94979	-0.677269	-1.049	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.68459	-12.6431	-2.63202	-0.707866	-1.0021	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	0
5.53166	-12.5751	-2.67941	-0.726746	-0.966117	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.40352	-12.4585	-2.81355	-0.782859	-0.974738	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0
5.24191	-12.3802	-2.86233	-0.792644	-0.93115	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.14033	-12.2876	-2.75311	-0.832463	-0.915053	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0
5.00451	-12.1949	-2.78185	-0.853454	-0.885816	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
4.90556	-12.0814	-2.81619	-0.896471	-0.884696	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0
4.79743	-11.9914	-2.82203	-0.918432	-0.862866	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.7009	-11.8621	-2.86516	-0.965576	-0.863909	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0
4.62221	-11.7318	-2.85514	-1.01712	-0.868238	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.57465	-11.6334	-2.57867	-1.06662	-0.865439	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	0
4.51772	-11.5178	-2.55804	-1.11529	-0.867347	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
4.39538	-11.3225	-3.17321	-1.14264	-0.854735	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	0
4.36471	-11.1668	-3.16015	-1.20909	-0.879274	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
4.36967	-11.0587	-2.70557	-1.28645	-0.911436	4.43713	-11.024	4.45	-11.05	0	1.81614	0
4.36515	-10.9117	-2.68815	-1.35944	-0.935468	4.45136	-10.93	4.45	-10.95	0	1.81612	0
4.34288	-10.7654	-2.69622	-1.41414	-0.938664	4.44745	-10.786	4.45	-10.8	0	2.72555	0
4.35993	-10.617	-2.68301	-1.4907	-0.96474	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
4.35751	-10.474	-2.67844	-1.5463	-0.96752	4.46329	-10.5756	4.45	-10.5	0	2.729	0
4.38013	-10.3251	-2.6778	-1.61532	-0.983881	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
4.40158	-10.1828	-2.65542	-1.67793	-0.993751	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0
4.45574	-10.0329	-2.66769	-1.75772	-1.01933	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
4.48689	-9.887	-2.70753	-1.80897	-1.01108	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0
4.55576	-9.73902	-2.72666	-1.88575	-1.03241	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
4.57952	-9.5737	-2.85086	-1.90652	-0.982162	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	0
4.66306	-9.42792	-2.86724	-1.97963	-1.00127	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
4.74311	-9.29098	-2.85782	-2.0463	-1.01488	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0
4.85442	-9.14326	-2.90774	-2.12424	-1.03636	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
4.94092	-9.02024	-2.90949	-2.18302	-1.04569	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0
5.02845	-8.91219	-2.89584	-2.23714	-1.0477	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
5.10228	-8.78395	-2.91214	-2.25744	-0.992165	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	0
5.22451	-8.65392	-2.95053	-2.31934	-0.998613	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
5.32753	-8.54775	-2.95484	-2.36701	-0.99426	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0
5.44003	-8.44249	-2.96911	-2.41748	-0.994705	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
5.52512	-8.33291	-2.92737	-2.42861	-0.92756	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	0
5.62159	-8.24058	-2.86879	-2.47083	-0.920491	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0
