px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
125.011	12.7842	2.69049	-0.0840614	-0.0708993	125.376	12.9964	125.242	12.8125	2.37624	0.369827	0
127.839	13.3186	3.60681	0.449306	0.310757	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0
127.762	13.3196	3.07782	0.523067	0.422172	127.506	13.153	127.609	13.2365	2.44434	0.495787	0
129.949	13.7102	2.17884	0.235231	-0.0287634	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0
130.034	13.7255	2.51047	0.224061	-0.045827	130.334	13.781	130.042	13.7853	2.50232	0.621879	0
132.09	14.5034	2.74791	0.368565	0.0746805	132.092	14.507	132.53	14.458	2.55028	0.74543	0
132.157	14.5104	2.86121	0.36013	0.0672342	132.447	14.3423	132.53	14.458	2.55028	0.74543	0
135.057	15.0492	3.86696	0.00131004	-0.202663	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0
135.038	15.033	3.0599	-0.0924102	-0.319065	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0
137.56	16.1994	2.85006	0.618048	0.336194	137.561	16.2147	137.639	16.1592	2.61821	0.974442	0
137.59	16.1965	3.25659	0.547253	0.241431	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0
140.324	17.0144	3.23901	0.203192	-0.143431	140.331	17.008	140.242	17.1733	2.63994	1.07503	0
140.326	17.0109	3.1045	0.206239	-0.134873	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0
142.887	17.9871	3.31863	0.382307	0.064169	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0
142.838	17.9821	3.14144	0.394736	0.0814841	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0
145.386	19.1607	3.58005	0.401919	0.0331288	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0
145.456	19.171	3.33969	0.427453	0.104811	145.789	19.3785	145.51	19.4754	2.66445	1.23795	0
148.242	20.4738	3.96245	0.399239	0.0188766	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0
148.213	20.4706	3.32412	0.480346	0.174437	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0
150.68	22.1121	3.77117	0.616745	0.149046	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0
150.662	22.1099	3.64976	0.645348	0.199572	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0
153.417	23.495	3.54487	0.39826	-0.0838917	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0
153.397	23.4851	3.22014	0.461134	0.00813841	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0
156.04	24.8071	3.7007	0.401518	-0.0356927	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0
156.023	24.8054	3.09966	0.453504	0.075261	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0
158.891	26.0287	4.06109	0.310743	-0.0659324	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0
158.897	26.0271	3.4676	0.343056	0.0153021	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0
161.412	27.4235	3.55642	0.524308	0.120486	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0
161.44	27.4317	3.21175	0.557848	0.192803	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0
163.623	28.7706	3.16476	0.528581	0.0511475	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0
163.73	28.7886	3.21304	0.533782	0.0790886	164.116	29.315	164.155	28.8064	2.64354	1.28825	0
166.81	30.2027	4.43671	0.305421	-0.119447	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0
166.739	30.1789	3.42213	0.381688	0.0323458	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0
169.099	31.3716	3.29584	0.465815	0.0655985	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0
169.119	31.3756	3.12724	0.473572	0.088161	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0
172.159	32.3397	4.13369	0.145489	-0.179691	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0
172.139	32.3221	3.29593	0.100955	-0.233905	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0
174.645	33.4536	3.19856	0.512973	0.177071	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0
174.627	33.4527	2.97251	0.53699	0.209268	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0
177.024	34.2067	2.97463	0.226535	-0.128221	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0
177.037	34.2035	2.75068	0.211097	-0.135553	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0
180.131	35.1364	3.96356	0.330382	0.0261011	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0
180.015	35.1206	2.90662	0.396973	0.118022	179.543	35.4767	179.799	35.1289	2.47883	0.732949	0
182.591	35.7561	3.31476	0.134589	-0.124046	182.599	35.753	182.292	35.8114	2.42515	0.611338	0
182.498	35.7343	2.72097	0.111837	-0.15012	182.047	36.2626	182.292	35.8114	2.42515	0.611338	0
184.731	36.5077	2.86443	0.423617	0.143434	184.732	36.5155	184.73	36.37	2.36226	0.487877	0
184.73	36.5111	2.49368	0.464316	0.193643	184.833	36.1451	184.73	36.37	2.36226	0.487877	0
186.937	36.9474	2.75465	0.0714591	-0.180369	186.946	36.9404	187.103	36.804	2.29017	0.365145	0
186.999	36.9555	2.65415	0.0259427	-0.222117	187.296	36.9375	187.103	36.804	2.29017	0.365145	0
189.459	37.3979	3.09567	0.24573	0.0584178	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0
189.482	37.4071	2.4995	0.309576	0.112474	189.738	36.951	189.401	37.1147	2.20928	0.245623	0
191.73	37.57	2.73813	-0.0447031	-0.183533	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0
191.699	37.5599	2.39	-0.0762851	-0.226159	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0
193.473	37.2769	2.25197	-0.197203	-0.159991	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0
193.494	37.2813	2.30171	-0.190797	-0.152832	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0
